Velocity,Wrench,dWrench,PBO_index,Assistance Level
-0.08571428571428572,128.57142857142856,7.142857142857146,-1.0,0.0
-0.08571428571428572,128.57142857142856,14.285714285714292,-1.0,0.0
-0.08571428571428572,128.57142857142856,21.42857142857143,-1.0,0.0
-0.08571428571428572,128.57142857142856,28.57142857142857,-1.0,0.0
-0.08571428571428572,128.57142857142856,35.71428571428572,-1.0,0.0
-0.08571428571428572,128.57142857142856,42.85714285714286,-1.0,0.0
-0.08571428571428572,128.57142857142856,50.0,-1.0,0.0
-0.08571428571428572,150.0,-50.0,-1.0,-0.0
-0.08571428571428572,150.0,-42.857142857142854,-1.0,-0.0
-0.08571428571428572,150.0,-35.714285714285715,-1.0,-0.0
-0.08571428571428572,150.0,-28.57142857142857,-1.0,-0.0
-0.08571428571428572,150.0,-21.428571428571427,-1.0,-0.0
-0.08571428571428572,150.0,-14.285714285714285,-1.0,-0.0
-0.08571428571428572,150.0,-7.142857142857139,-1.0,-0.0
-0.08571428571428572,150.0,0.0,-1.0,0.0
-0.08571428571428572,150.0,7.142857142857146,-1.0,0.0
-0.08571428571428572,150.0,14.285714285714292,-1.0,0.0
-0.08571428571428572,150.0,21.42857142857143,-1.0,0.0
-0.08571428571428572,150.0,28.57142857142857,-1.0,0.0
-0.08571428571428572,150.0,35.71428571428572,-1.0,0.0
-0.08571428571428572,150.0,42.85714285714286,-1.0,0.0
-0.08571428571428572,150.0,50.0,-1.0,0.0
-0.07142857142857142,-150.0,-50.0,-1.0,-0.0
-0.07142857142857142,-150.0,-42.857142857142854,-1.0,-0.0
-0.07142857142857142,-150.0,-35.714285714285715,-1.0,-0.0
-0.07142857142857142,-150.0,-28.57142857142857,-1.0,-0.0
-0.07142857142857142,-150.0,-21.428571428571427,-1.0,-0.0
-0.07142857142857142,-150.0,-14.285714285714285,-1.0,-0.0
-0.07142857142857142,-150.0,-7.142857142857139,-1.0,-0.0
-0.07142857142857142,-150.0,0.0,-1.0,0.0
-0.07142857142857142,-150.0,7.142857142857146,-1.0,0.0
-0.07142857142857142,-150.0,14.285714285714292,-1.0,0.0
-0.07142857142857142,-150.0,21.42857142857143,-1.0,0.0
-0.07142857142857142,-150.0,28.57142857142857,-1.0,0.0
-0.07142857142857142,-150.0,35.71428571428572,-1.0,0.0
-0.07142857142857142,-150.0,42.85714285714286,-1.0,0.0
-0.07142857142857142,-150.0,50.0,-1.0,0.0
-0.07142857142857142,-128.57142857142858,-50.0,-1.0,-0.0
-0.07142857142857142,-128.57142857142858,-42.857142857142854,-1.0,-0.0
-0.07142857142857142,-128.57142857142858,-35.714285714285715,-1.0,-0.0
-0.07142857142857142,-128.57142857142858,-28.57142857142857,-1.0,-0.0
-0.07142857142857142,-128.57142857142858,-21.428571428571427,-1.0,-0.0
-0.07142857142857142,-128.57142857142858,-14.285714285714285,-1.0,-0.0
-0.07142857142857142,-128.57142857142858,-7.142857142857139,-1.0,-0.0
-0.07142857142857142,-128.57142857142858,0.0,-1.0,0.0
-0.07142857142857142,-128.57142857142858,7.142857142857146,-1.0,0.0
-0.07142857142857142,-128.57142857142858,14.285714285714292,-1.0,0.0
-0.07142857142857142,-128.57142857142858,21.42857142857143,-1.0,0.0
-0.07142857142857142,-128.57142857142858,28.57142857142857,-1.0,0.0
-0.07142857142857142,-128.57142857142858,35.71428571428572,-1.0,0.0
-0.07142857142857142,-128.57142857142858,42.85714285714286,-1.0,0.0
-0.07142857142857142,-128.57142857142858,50.0,-1.0,0.0
-0.07142857142857142,-107.14285714285714,-50.0,-1.0,-0.0
-0.07142857142857142,-107.14285714285714,-42.857142857142854,-1.0,-0.0
-0.07142857142857142,-107.14285714285714,-35.714285714285715,-1.0,-0.0
-0.07142857142857142,-107.14285714285714,-28.57142857142857,-1.0,-0.0
-0.07142857142857142,-107.14285714285714,-21.428571428571427,-1.0,-0.0
-0.07142857142857142,-107.14285714285714,-14.285714285714285,-1.0,-0.0
-0.07142857142857142,-107.14285714285714,-7.142857142857139,-1.0,-0.0
-0.07142857142857142,-107.14285714285714,0.0,-1.0,0.0
-0.07142857142857142,-107.14285714285714,7.142857142857146,-1.0,0.0
-0.07142857142857142,-107.14285714285714,14.285714285714292,-1.0,0.0
-0.07142857142857142,-107.14285714285714,21.42857142857143,-1.0,0.0
-0.07142857142857142,-107.14285714285714,28.57142857142857,-1.0,0.0
-0.07142857142857142,-107.14285714285714,35.71428571428572,-1.0,0.0
-0.07142857142857142,-107.14285714285714,42.85714285714286,-1.0,0.0
-0.07142857142857142,-107.14285714285714,50.0,-1.0,0.0
-0.07142857142857142,-85.71428571428572,-50.0,-1.0,-0.0
-0.07142857142857142,-85.71428571428572,-42.857142857142854,-1.0,-0.0
-0.07142857142857142,-85.71428571428572,-35.714285714285715,-1.0,-0.0
-0.07142857142857142,-85.71428571428572,-28.57142857142857,-1.0,-0.0
-0.07142857142857142,-85.71428571428572,-21.428571428571427,-1.0,-0.0
-0.07142857142857142,-85.71428571428572,-14.285714285714285,-1.0,-0.0
-0.07142857142857142,-85.71428571428572,-7.142857142857139,-1.0,-0.0
-0.07142857142857142,-85.71428571428572,0.0,-1.0,0.0
-0.07142857142857142,-85.71428571428572,7.142857142857146,-1.0,0.0
-0.07142857142857142,-85.71428571428572,14.285714285714292,-1.0,0.0
-0.07142857142857142,-85.71428571428572,21.42857142857143,-1.0,0.0
-0.07142857142857142,-85.71428571428572,28.57142857142857,-1.0,0.0
-0.07142857142857142,-85.71428571428572,35.71428571428572,-1.0,0.0
-0.07142857142857142,-85.71428571428572,42.85714285714286,-1.0,0.0
-0.07142857142857142,-85.71428571428572,50.0,-1.0,0.0
-0.07142857142857142,-64.28571428571429,-50.0,-1.0,-0.0
-0.07142857142857142,-64.28571428571429,-42.857142857142854,-1.0,-0.0
-0.07142857142857142,-64.28571428571429,-35.714285714285715,-1.0,-0.0
-0.07142857142857142,-64.28571428571429,-28.57142857142857,-1.0,-0.0
-0.07142857142857142,-64.28571428571429,-21.428571428571427,-1.0,-0.0
-0.07142857142857142,-64.28571428571429,-14.285714285714285,-1.0,-0.0
-0.07142857142857142,-64.28571428571429,-7.142857142857139,-1.0,-0.0
-0.07142857142857142,-64.28571428571429,0.0,-1.0,0.0
-0.07142857142857142,-64.28571428571429,7.142857142857146,-1.0,0.0
-0.07142857142857142,-64.28571428571429,14.285714285714292,-1.0,0.0
-0.07142857142857142,-64.28571428571429,21.42857142857143,-1.0,0.0
-0.07142857142857142,-64.28571428571429,28.57142857142857,-1.0,0.0
-0.07142857142857142,-64.28571428571429,35.71428571428572,-1.0,0.0
-0.07142857142857142,-64.28571428571429,42.85714285714286,-1.0,0.0
-0.07142857142857142,-64.28571428571429,50.0,-1.0,0.0
-0.07142857142857142,-42.85714285714286,-50.0,-1.0,-0.0
-0.07142857142857142,-42.85714285714286,-42.857142857142854,-1.0,-0.0
-0.07142857142857142,-42.85714285714286,-35.714285714285715,-1.0,-0.0
-0.07142857142857142,-42.85714285714286,-28.57142857142857,-1.0,-0.0
-0.07142857142857142,-42.85714285714286,-21.428571428571427,-1.0,-0.0
-0.07142857142857142,-42.85714285714286,-14.285714285714285,-1.0,-0.0
-0.07142857142857142,-42.85714285714286,-7.142857142857139,-1.0,-0.0
-0.07142857142857142,-42.85714285714286,0.0,-1.0,0.0
-0.07142857142857142,-42.85714285714286,7.142857142857146,-1.0,0.0
-0.07142857142857142,-42.85714285714286,14.285714285714292,-1.0,0.0
-0.07142857142857142,-42.85714285714286,21.42857142857143,-1.0,0.0
-0.07142857142857142,-42.85714285714286,28.57142857142857,-1.0,0.0
-0.07142857142857142,-42.85714285714286,35.71428571428572,-1.0,0.0
-0.07142857142857142,-42.85714285714286,42.85714285714286,-1.0,0.0
-0.07142857142857142,-42.85714285714286,50.0,-1.0,0.0
-0.07142857142857142,-21.428571428571445,-50.0,-1.0,-0.0
-0.07142857142857142,-21.428571428571445,-42.857142857142854,-1.0,-0.0
-0.07142857142857142,-21.428571428571445,-35.714285714285715,-1.0,-0.0
-0.07142857142857142,-21.428571428571445,-28.57142857142857,-1.0,-0.0
-0.07142857142857142,-21.428571428571445,-21.428571428571427,-1.0,-0.0
-0.07142857142857142,-21.428571428571445,-14.285714285714285,-1.0,-0.0
-0.07142857142857142,-21.428571428571445,-7.142857142857139,-1.0,-0.0
-0.07142857142857142,-21.428571428571445,0.0,-1.0,0.0
-0.07142857142857142,-21.428571428571445,7.142857142857146,-1.0,0.0
-0.07142857142857142,-21.428571428571445,14.285714285714292,-1.0,0.0
-0.07142857142857142,-21.428571428571445,21.42857142857143,-1.0,0.0
-0.07142857142857142,-21.428571428571445,28.57142857142857,-1.0,0.0
-0.07142857142857142,-21.428571428571445,35.71428571428572,-1.0,0.0
-0.07142857142857142,-21.428571428571445,42.85714285714286,-1.0,0.0
-0.07142857142857142,-21.428571428571445,50.0,-1.0,0.0
-0.07142857142857142,0.0,-50.0,-1.0,-0.0
-0.07142857142857142,0.0,-42.857142857142854,-1.0,-0.0
-0.07142857142857142,0.0,-35.714285714285715,-1.0,-0.0
-0.07142857142857142,0.0,-28.57142857142857,-1.0,-0.0
-0.07142857142857142,0.0,-21.428571428571427,-1.0,-0.0
-0.07142857142857142,0.0,-14.285714285714285,-1.0,-0.0
-0.07142857142857142,0.0,-7.142857142857139,-1.0,-0.0
-0.07142857142857142,0.0,0.0,-1.0,0.0
-0.07142857142857142,0.0,7.142857142857146,-1.0,0.0
-0.07142857142857142,0.0,14.285714285714292,-1.0,0.0
-0.07142857142857142,0.0,21.42857142857143,-1.0,0.0
-0.07142857142857142,0.0,28.57142857142857,-1.0,0.0
-0.07142857142857142,0.0,35.71428571428572,-1.0,0.0
-0.07142857142857142,0.0,42.85714285714286,-1.0,0.0
-0.07142857142857142,0.0,50.0,-1.0,0.0
-0.07142857142857142,21.428571428571416,-50.0,-1.0,-0.0
-0.07142857142857142,21.428571428571416,-42.857142857142854,-1.0,-0.0
-0.07142857142857142,21.428571428571416,-35.714285714285715,-1.0,-0.0
-0.07142857142857142,21.428571428571416,-28.57142857142857,-1.0,-0.0
-0.07142857142857142,21.428571428571416,-21.428571428571427,-1.0,-0.0
-0.07142857142857142,21.428571428571416,-14.285714285714285,-1.0,-0.0
-0.07142857142857142,21.428571428571416,-7.142857142857139,-1.0,-0.0
-0.07142857142857142,21.428571428571416,0.0,-1.0,0.0
-0.07142857142857142,21.428571428571416,7.142857142857146,-1.0,0.0
-0.07142857142857142,21.428571428571416,14.285714285714292,-1.0,0.0
-0.07142857142857142,21.428571428571416,21.42857142857143,-1.0,0.0
-0.07142857142857142,21.428571428571416,28.57142857142857,-1.0,0.0
-0.07142857142857142,21.428571428571416,35.71428571428572,-1.0,0.0
-0.07142857142857142,21.428571428571416,42.85714285714286,-1.0,0.0
-0.07142857142857142,21.428571428571416,50.0,-1.0,0.0
-0.07142857142857142,42.85714285714283,-50.0,-1.0,-0.0
-0.07142857142857142,42.85714285714283,-42.857142857142854,-1.0,-0.0
-0.07142857142857142,42.85714285714283,-35.714285714285715,-1.0,-0.0
-0.07142857142857142,42.85714285714283,-28.57142857142857,-1.0,-0.0
-0.07142857142857142,42.85714285714283,-21.428571428571427,-1.0,-0.0
-0.07142857142857142,42.85714285714283,-14.285714285714285,-1.0,-0.0
-0.07142857142857142,42.85714285714283,-7.142857142857139,-1.0,-0.0
-0.07142857142857142,42.85714285714283,0.0,-1.0,0.0
-0.07142857142857142,42.85714285714283,7.142857142857146,-1.0,0.0
-0.07142857142857142,42.85714285714283,14.285714285714292,-1.0,0.0
-0.07142857142857142,42.85714285714283,21.42857142857143,-1.0,0.0
-0.07142857142857142,42.85714285714283,28.57142857142857,-1.0,0.0
-0.07142857142857142,42.85714285714283,35.71428571428572,-1.0,0.0
-0.07142857142857142,42.85714285714283,42.85714285714286,-1.0,0.0
-0.07142857142857142,42.85714285714283,50.0,-1.0,0.0
-0.07142857142857142,64.28571428571428,-50.0,-1.0,-0.0
-0.07142857142857142,64.28571428571428,-42.857142857142854,-1.0,-0.0
-0.07142857142857142,64.28571428571428,-35.714285714285715,-1.0,-0.0
-0.07142857142857142,64.28571428571428,-28.57142857142857,-1.0,-0.0
-0.07142857142857142,64.28571428571428,-21.428571428571427,-1.0,-0.0
-0.07142857142857142,64.28571428571428,-14.285714285714285,-1.0,-0.0
-0.07142857142857142,64.28571428571428,-7.142857142857139,-1.0,-0.0
-0.07142857142857142,64.28571428571428,0.0,-1.0,0.0
-0.07142857142857142,64.28571428571428,7.142857142857146,-1.0,0.0
-0.07142857142857142,64.28571428571428,14.285714285714292,-1.0,0.0
-0.07142857142857142,64.28571428571428,21.42857142857143,-1.0,0.0
-0.07142857142857142,64.28571428571428,28.57142857142857,-1.0,0.0
-0.07142857142857142,64.28571428571428,35.71428571428572,-1.0,0.0
-0.07142857142857142,64.28571428571428,42.85714285714286,-1.0,0.0
-0.07142857142857142,64.28571428571428,50.0,-1.0,0.0
-0.07142857142857142,85.7142857142857,-50.0,-1.0,-0.0
-0.07142857142857142,85.7142857142857,-42.857142857142854,-1.0,-0.0
-0.07142857142857142,85.7142857142857,-35.714285714285715,-1.0,-0.0
-0.07142857142857142,85.7142857142857,-28.57142857142857,-1.0,-0.0
-0.07142857142857142,85.7142857142857,-21.428571428571427,-1.0,-0.0
-0.07142857142857142,85.7142857142857,-14.285714285714285,-1.0,-0.0
-0.07142857142857142,85.7142857142857,-7.142857142857139,-1.0,-0.0
-0.07142857142857142,85.7142857142857,0.0,-1.0,0.0
-0.07142857142857142,85.7142857142857,7.142857142857146,-1.0,0.0
-0.07142857142857142,85.7142857142857,14.285714285714292,-1.0,0.0
-0.07142857142857142,85.7142857142857,21.42857142857143,-1.0,0.0
-0.07142857142857142,85.7142857142857,28.57142857142857,-1.0,0.0
-0.07142857142857142,85.7142857142857,35.71428571428572,-1.0,0.0
-0.07142857142857142,85.7142857142857,42.85714285714286,-1.0,0.0
-0.07142857142857142,85.7142857142857,50.0,-1.0,0.0
-0.07142857142857142,107.14285714285711,-50.0,-1.0,-0.0
-0.07142857142857142,107.14285714285711,-42.857142857142854,-1.0,-0.0
-0.07142857142857142,107.14285714285711,-35.714285714285715,-1.0,-0.0
-0.07142857142857142,107.14285714285711,-28.57142857142857,-1.0,-0.0
-0.07142857142857142,107.14285714285711,-21.428571428571427,-1.0,-0.0
-0.07142857142857142,107.14285714285711,-14.285714285714285,-1.0,-0.0
-0.07142857142857142,107.14285714285711,-7.142857142857139,-1.0,-0.0
-0.07142857142857142,107.14285714285711,0.0,-1.0,0.0
-0.07142857142857142,107.14285714285711,7.142857142857146,-1.0,0.0
-0.07142857142857142,107.14285714285711,14.285714285714292,-1.0,0.0
-0.07142857142857142,107.14285714285711,21.42857142857143,-1.0,0.0
-0.07142857142857142,107.14285714285711,28.57142857142857,-1.0,0.0
-0.07142857142857142,107.14285714285711,35.71428571428572,-1.0,0.0
-0.07142857142857142,107.14285714285711,42.85714285714286,-1.0,0.0
-0.07142857142857142,107.14285714285711,50.0,-1.0,0.0
-0.07142857142857142,128.57142857142856,-50.0,-1.0,-0.0
-0.07142857142857142,128.57142857142856,-42.857142857142854,-1.0,-0.0
-0.07142857142857142,128.57142857142856,-35.714285714285715,-1.0,-0.0
-0.07142857142857142,128.57142857142856,-28.57142857142857,-1.0,-0.0
-0.07142857142857142,128.57142857142856,-21.428571428571427,-1.0,-0.0
-0.07142857142857142,128.57142857142856,-14.285714285714285,-1.0,-0.0
-0.07142857142857142,128.57142857142856,-7.142857142857139,-1.0,-0.0
-0.07142857142857142,128.57142857142856,0.0,-1.0,0.0
-0.07142857142857142,128.57142857142856,7.142857142857146,-1.0,0.0
-0.07142857142857142,128.57142857142856,14.285714285714292,-1.0,0.0
-0.07142857142857142,128.57142857142856,21.42857142857143,-1.0,0.0
-0.07142857142857142,128.57142857142856,28.57142857142857,-1.0,0.0
-0.07142857142857142,128.57142857142856,35.71428571428572,-1.0,0.0
-0.07142857142857142,128.57142857142856,42.85714285714286,-1.0,0.0
-0.07142857142857142,128.57142857142856,50.0,-1.0,0.0
-0.07142857142857142,150.0,-50.0,-1.0,-0.0
-0.07142857142857142,150.0,-42.857142857142854,-1.0,-0.0
-0.07142857142857142,150.0,-35.714285714285715,-1.0,-0.0
-0.07142857142857142,150.0,-28.57142857142857,-1.0,-0.0
-0.07142857142857142,150.0,-21.428571428571427,-1.0,-0.0
-0.07142857142857142,150.0,-14.285714285714285,-1.0,-0.0
-0.07142857142857142,150.0,-7.142857142857139,-1.0,-0.0
-0.07142857142857142,150.0,0.0,-1.0,0.0
-0.07142857142857142,150.0,7.142857142857146,-1.0,0.0
-0.07142857142857142,150.0,14.285714285714292,-1.0,0.0
-0.07142857142857142,150.0,21.42857142857143,-1.0,0.0
-0.07142857142857142,150.0,28.57142857142857,-1.0,0.0
-0.07142857142857142,150.0,35.71428571428572,-1.0,0.0
-0.07142857142857142,150.0,42.85714285714286,-1.0,0.0
-0.07142857142857142,150.0,50.0,-1.0,0.0
-0.05714285714285715,-150.0,-50.0,-1.0,-0.0007410226833742246
-0.05714285714285715,-150.0,-42.857142857142854,-1.0,-0.0007410226833742246
-0.05714285714285715,-150.0,-35.714285714285715,-1.0,-0.0007410226833742246
-0.05714285714285715,-150.0,-28.57142857142857,-1.0,-0.0007410226833742246
-0.05714285714285715,-150.0,-21.428571428571427,-1.0,-0.0007410226833742246
-0.05714285714285715,-150.0,-14.285714285714285,-1.0,-0.0007410226833742246
-0.05714285714285715,-150.0,-7.142857142857139,-1.0,-0.0007410226833742246
-0.05714285714285715,-150.0,0.0,-1.0,0.0
-0.05714285714285715,-150.0,7.142857142857146,-1.0,0.0007410226833742246
-0.05714285714285715,-150.0,14.285714285714292,-1.0,0.0007410226833742246
-0.05714285714285715,-150.0,21.42857142857143,-1.0,0.0007410226833742246
-0.05714285714285715,-150.0,28.57142857142857,-1.0,0.0007410226833742246
-0.05714285714285715,-150.0,35.71428571428572,-1.0,0.0007410226833742246
-0.05714285714285715,-150.0,42.85714285714286,-1.0,0.0007410226833742246
-0.05714285714285715,-150.0,50.0,-1.0,0.0007410226833742246
-0.05714285714285715,-128.57142857142858,-50.0,-1.0,-0.0007410226833742246
-0.05714285714285715,-128.57142857142858,-42.857142857142854,-1.0,-0.0007410226833742246
-0.05714285714285715,-128.57142857142858,-35.714285714285715,-1.0,-0.0007410226833742246
-0.05714285714285715,-128.57142857142858,-28.57142857142857,-1.0,-0.0007410226833742246
-0.05714285714285715,-128.57142857142858,-21.428571428571427,-1.0,-0.0007410226833742246
-0.05714285714285715,-128.57142857142858,-14.285714285714285,-1.0,-0.0007410226833742246
-0.05714285714285715,-128.57142857142858,-7.142857142857139,-1.0,-0.0007410226833742246
-0.05714285714285715,-128.57142857142858,0.0,-1.0,0.0
-0.05714285714285715,-128.57142857142858,7.142857142857146,-1.0,0.0007410226833742246
-0.05714285714285715,-128.57142857142858,14.285714285714292,-1.0,0.0007410226833742246
-0.05714285714285715,-128.57142857142858,21.42857142857143,-1.0,0.0007410226833742246
-0.05714285714285715,-128.57142857142858,28.57142857142857,-1.0,0.0007410226833742246
-0.05714285714285715,-128.57142857142858,35.71428571428572,-1.0,0.0007410226833742246
-0.05714285714285715,-128.57142857142858,42.85714285714286,-1.0,0.0007410226833742246
-0.05714285714285715,-128.57142857142858,50.0,-1.0,0.0007410226833742246
-0.05714285714285715,-107.14285714285714,-50.0,-1.0,-0.0007410226833742246
-0.05714285714285715,-107.14285714285714,-42.857142857142854,-1.0,-0.0007410226833742246
-0.05714285714285715,-107.14285714285714,-35.714285714285715,-1.0,-0.0007410226833742246
-0.05714285714285715,-107.14285714285714,-28.57142857142857,-1.0,-0.0007410226833742246
-0.05714285714285715,-107.14285714285714,-21.428571428571427,-1.0,-0.0007410226833742246
-0.05714285714285715,-107.14285714285714,-14.285714285714285,-1.0,-0.0007410226833742246
-0.05714285714285715,-107.14285714285714,-7.142857142857139,-1.0,-0.0007410226833742246
-0.05714285714285715,-107.14285714285714,0.0,-1.0,0.0
-0.05714285714285715,-107.14285714285714,7.142857142857146,-1.0,0.0007410226833742246
-0.05714285714285715,-107.14285714285714,14.285714285714292,-1.0,0.0007410226833742246
-0.05714285714285715,-107.14285714285714,21.42857142857143,-1.0,0.0007410226833742246
-0.05714285714285715,-107.14285714285714,28.57142857142857,-1.0,0.0007410226833742246
-0.05714285714285715,-107.14285714285714,35.71428571428572,-1.0,0.0007410226833742246
-0.05714285714285715,-107.14285714285714,42.85714285714286,-1.0,0.0007410226833742246
-0.05714285714285715,-107.14285714285714,50.0,-1.0,0.0007410226833742246
-0.05714285714285715,-85.71428571428572,-50.0,-1.0,-0.0007532373429902831
-0.05714285714285715,-85.71428571428572,-42.857142857142854,-1.0,-0.0007532373429902831
-0.05714285714285715,-85.71428571428572,-35.714285714285715,-1.0,-0.0007532373429902831
-0.05714285714285715,-85.71428571428572,-28.57142857142857,-1.0,-0.0007532373429902831
-0.05714285714285715,-85.71428571428572,-21.428571428571427,-1.0,-0.0007532373429902831
-0.05714285714285715,-85.71428571428572,-14.285714285714285,-1.0,-0.0007532373429902831
-0.05714285714285715,-85.71428571428572,-7.142857142857139,-1.0,-0.0007532373429902831
-0.05714285714285715,-85.71428571428572,0.0,-1.0,0.0
-0.05714285714285715,-85.71428571428572,7.142857142857146,-1.0,0.0007532373429902831
-0.05714285714285715,-85.71428571428572,14.285714285714292,-1.0,0.0007532373429902831
-0.05714285714285715,-85.71428571428572,21.42857142857143,-1.0,0.0007532373429902831
-0.05714285714285715,-85.71428571428572,28.57142857142857,-1.0,0.0007532373429902831
-0.05714285714285715,-85.71428571428572,35.71428571428572,-1.0,0.0007532373429902831
-0.05714285714285715,-85.71428571428572,42.85714285714286,-1.0,0.0007532373429902831
-0.05714285714285715,-85.71428571428572,50.0,-1.0,0.0007532373429902831
-0.05714285714285715,-64.28571428571429,-50.0,-1.0,-0.0007532373429902831
-0.05714285714285715,-64.28571428571429,-42.857142857142854,-1.0,-0.0007532373429902831
-0.05714285714285715,-64.28571428571429,-35.714285714285715,-1.0,-0.0007532373429902831
-0.05714285714285715,-64.28571428571429,-28.57142857142857,-1.0,-0.0007532373429902831
-0.05714285714285715,-64.28571428571429,-21.428571428571427,-1.0,-0.0007532373429902831
-0.05714285714285715,-64.28571428571429,-14.285714285714285,-1.0,-0.0007532373429902831
-0.05714285714285715,-64.28571428571429,-7.142857142857139,-1.0,-0.0007532373429902831
