Velocity,Wrench,dWrench,PBO_index,Assistance Level
0.05555555555555555,10.0,1.1111111111111107,-0.7777777777777778,7.946083251302022e-05
0.05555555555555555,10.0,3.333333333333334,-0.7777777777777778,7.946083251302022e-05
0.05555555555555555,10.0,5.555555555555557,-0.7777777777777778,7.946083251302022e-05
0.05555555555555555,10.0,7.777777777777779,-0.7777777777777778,7.946083251302022e-05
0.05555555555555555,10.0,10.0,-0.7777777777777778,7.946083251302022e-05
0.05555555555555555,16.66666666666667,-10.0,-0.7777777777777778,-7.946083251302022e-05
0.05555555555555555,16.66666666666667,-7.777777777777778,-0.7777777777777778,-7.946083251302022e-05
0.05555555555555555,16.66666666666667,-5.555555555555555,-0.7777777777777778,-7.946083251302022e-05
0.05555555555555555,16.66666666666667,-3.333333333333333,-0.7777777777777778,-7.946083251302022e-05
0.05555555555555555,16.66666666666667,-1.1111111111111107,-0.7777777777777778,-7.946083251302022e-05
0.05555555555555555,16.66666666666667,1.1111111111111107,-0.7777777777777778,7.946083251302022e-05
0.05555555555555555,16.66666666666667,3.333333333333334,-0.7777777777777778,7.946083251302022e-05
0.05555555555555555,16.66666666666667,5.555555555555557,-0.7777777777777778,7.946083251302022e-05
0.05555555555555555,16.66666666666667,7.777777777777779,-0.7777777777777778,7.946083251302022e-05
0.05555555555555555,16.66666666666667,10.0,-0.7777777777777778,7.946083251302022e-05
0.05555555555555555,23.333333333333336,-10.0,-0.7777777777777778,-7.946083251302022e-05
0.05555555555555555,23.333333333333336,-7.777777777777778,-0.7777777777777778,-7.946083251302022e-05
0.05555555555555555,23.333333333333336,-5.555555555555555,-0.7777777777777778,-7.946083251302022e-05
0.05555555555555555,23.333333333333336,-3.333333333333333,-0.7777777777777778,-7.946083251302022e-05
0.05555555555555555,23.333333333333336,-1.1111111111111107,-0.7777777777777778,-7.946083251302022e-05
0.05555555555555555,23.333333333333336,1.1111111111111107,-0.7777777777777778,7.946083251302022e-05
0.05555555555555555,23.333333333333336,3.333333333333334,-0.7777777777777778,7.946083251302022e-05
0.05555555555555555,23.333333333333336,5.555555555555557,-0.7777777777777778,7.946083251302022e-05
0.05555555555555555,23.333333333333336,7.777777777777779,-0.7777777777777778,7.946083251302022e-05
0.05555555555555555,23.333333333333336,10.0,-0.7777777777777778,7.946083251302022e-05
0.05555555555555555,30.0,-10.0,-0.7777777777777778,-7.946083251302022e-05
0.05555555555555555,30.0,-7.777777777777778,-0.7777777777777778,-7.946083251302022e-05
0.05555555555555555,30.0,-5.555555555555555,-0.7777777777777778,-7.946083251302022e-05
0.05555555555555555,30.0,-3.333333333333333,-0.7777777777777778,-7.946083251302022e-05
0.05555555555555555,30.0,-1.1111111111111107,-0.7777777777777778,-7.946083251302022e-05
0.05555555555555555,30.0,1.1111111111111107,-0.7777777777777778,7.946083251302022e-05
0.05555555555555555,30.0,3.333333333333334,-0.7777777777777778,7.946083251302022e-05
0.05555555555555555,30.0,5.555555555555557,-0.7777777777777778,7.946083251302022e-05
0.05555555555555555,30.0,7.777777777777779,-0.7777777777777778,7.946083251302022e-05
0.05555555555555555,30.0,10.0,-0.7777777777777778,7.946083251302022e-05
0.07777777777777778,-30.0,-10.0,-0.7777777777777778,-0.0
0.07777777777777778,-30.0,-7.777777777777778,-0.7777777777777778,-0.0
0.07777777777777778,-30.0,-5.555555555555555,-0.7777777777777778,-0.0
0.07777777777777778,-30.0,-3.333333333333333,-0.7777777777777778,-0.0
0.07777777777777778,-30.0,-1.1111111111111107,-0.7777777777777778,-0.0
0.07777777777777778,-30.0,1.1111111111111107,-0.7777777777777778,0.0
0.07777777777777778,-30.0,3.333333333333334,-0.7777777777777778,0.0
0.07777777777777778,-30.0,5.555555555555557,-0.7777777777777778,0.0
0.07777777777777778,-30.0,7.777777777777779,-0.7777777777777778,0.0
0.07777777777777778,-30.0,10.0,-0.7777777777777778,0.0
0.07777777777777778,-23.333333333333332,-10.0,-0.7777777777777778,-0.0
0.07777777777777778,-23.333333333333332,-7.777777777777778,-0.7777777777777778,-0.0
0.07777777777777778,-23.333333333333332,-5.555555555555555,-0.7777777777777778,-0.0
0.07777777777777778,-23.333333333333332,-3.333333333333333,-0.7777777777777778,-0.0
0.07777777777777778,-23.333333333333332,-1.1111111111111107,-0.7777777777777778,-0.0
0.07777777777777778,-23.333333333333332,1.1111111111111107,-0.7777777777777778,0.0
0.07777777777777778,-23.333333333333332,3.333333333333334,-0.7777777777777778,0.0
0.07777777777777778,-23.333333333333332,5.555555555555557,-0.7777777777777778,0.0
0.07777777777777778,-23.333333333333332,7.777777777777779,-0.7777777777777778,0.0
0.07777777777777778,-23.333333333333332,10.0,-0.7777777777777778,0.0
0.07777777777777778,-16.666666666666664,-10.0,-0.7777777777777778,-0.0
0.07777777777777778,-16.666666666666664,-7.777777777777778,-0.7777777777777778,-0.0
0.07777777777777778,-16.666666666666664,-5.555555555555555,-0.7777777777777778,-0.0
0.07777777777777778,-16.666666666666664,-3.333333333333333,-0.7777777777777778,-0.0
0.07777777777777778,-16.666666666666664,-1.1111111111111107,-0.7777777777777778,-0.0
0.07777777777777778,-16.666666666666664,1.1111111111111107,-0.7777777777777778,0.0
0.07777777777777778,-16.666666666666664,3.333333333333334,-0.7777777777777778,0.0
0.07777777777777778,-16.666666666666664,5.555555555555557,-0.7777777777777778,0.0
0.07777777777777778,-16.666666666666664,7.777777777777779,-0.7777777777777778,0.0
0.07777777777777778,-16.666666666666664,10.0,-0.7777777777777778,0.0
0.07777777777777778,-10.0,-10.0,-0.7777777777777778,-0.0
0.07777777777777778,-10.0,-7.777777777777778,-0.7777777777777778,-0.0
0.07777777777777778,-10.0,-5.555555555555555,-0.7777777777777778,-0.0
0.07777777777777778,-10.0,-3.333333333333333,-0.7777777777777778,-0.0
0.07777777777777778,-10.0,-1.1111111111111107,-0.7777777777777778,-0.0
0.07777777777777778,-10.0,1.1111111111111107,-0.7777777777777778,0.0
0.07777777777777778,-10.0,3.333333333333334,-0.7777777777777778,0.0
0.07777777777777778,-10.0,5.555555555555557,-0.7777777777777778,0.0
0.07777777777777778,-10.0,7.777777777777779,-0.7777777777777778,0.0
0.07777777777777778,-10.0,10.0,-0.7777777777777778,0.0
0.07777777777777778,-3.333333333333332,-10.0,-0.7777777777777778,-0.0
0.07777777777777778,-3.333333333333332,-7.777777777777778,-0.7777777777777778,-0.0
0.07777777777777778,-3.333333333333332,-5.555555555555555,-0.7777777777777778,-0.0
0.07777777777777778,-3.333333333333332,-3.333333333333333,-0.7777777777777778,-0.0
0.07777777777777778,-3.333333333333332,-1.1111111111111107,-0.7777777777777778,-0.0
0.07777777777777778,-3.333333333333332,1.1111111111111107,-0.7777777777777778,0.0
0.07777777777777778,-3.333333333333332,3.333333333333334,-0.7777777777777778,0.0
0.07777777777777778,-3.333333333333332,5.555555555555557,-0.7777777777777778,0.0
0.07777777777777778,-3.333333333333332,7.777777777777779,-0.7777777777777778,0.0
0.07777777777777778,-3.333333333333332,10.0,-0.7777777777777778,0.0
0.07777777777777778,3.3333333333333357,-10.0,-0.7777777777777778,-0.0
0.07777777777777778,3.3333333333333357,-7.777777777777778,-0.7777777777777778,-0.0
0.07777777777777778,3.3333333333333357,-5.555555555555555,-0.7777777777777778,-0.0
0.07777777777777778,3.3333333333333357,-3.333333333333333,-0.7777777777777778,-0.0
0.07777777777777778,3.3333333333333357,-1.1111111111111107,-0.7777777777777778,-0.0
0.07777777777777778,3.3333333333333357,1.1111111111111107,-0.7777777777777778,0.0
0.07777777777777778,3.3333333333333357,3.333333333333334,-0.7777777777777778,0.0
0.07777777777777778,3.3333333333333357,5.555555555555557,-0.7777777777777778,0.0
0.07777777777777778,3.3333333333333357,7.777777777777779,-0.7777777777777778,0.0
0.07777777777777778,3.3333333333333357,10.0,-0.7777777777777778,0.0
0.07777777777777778,10.0,-10.0,-0.7777777777777778,-0.0
0.07777777777777778,10.0,-7.777777777777778,-0.7777777777777778,-0.0
0.07777777777777778,10.0,-5.555555555555555,-0.7777777777777778,-0.0
0.07777777777777778,10.0,-3.333333333333333,-0.7777777777777778,-0.0
0.07777777777777778,10.0,-1.1111111111111107,-0.7777777777777778,-0.0
0.07777777777777778,10.0,1.1111111111111107,-0.7777777777777778,0.0
0.07777777777777778,10.0,3.333333333333334,-0.7777777777777778,0.0
0.07777777777777778,10.0,5.555555555555557,-0.7777777777777778,0.0
0.07777777777777778,10.0,7.777777777777779,-0.7777777777777778,0.0
0.07777777777777778,10.0,10.0,-0.7777777777777778,0.0
0.07777777777777778,16.66666666666667,-10.0,-0.7777777777777778,-0.0
0.07777777777777778,16.66666666666667,-7.777777777777778,-0.7777777777777778,-0.0
0.07777777777777778,16.66666666666667,-5.555555555555555,-0.7777777777777778,-0.0
0.07777777777777778,16.66666666666667,-3.333333333333333,-0.7777777777777778,-0.0
0.07777777777777778,16.66666666666667,-1.1111111111111107,-0.7777777777777778,-0.0
0.07777777777777778,16.66666666666667,1.1111111111111107,-0.7777777777777778,0.0
0.07777777777777778,16.66666666666667,3.333333333333334,-0.7777777777777778,0.0
0.07777777777777778,16.66666666666667,5.555555555555557,-0.7777777777777778,0.0
0.07777777777777778,16.66666666666667,7.777777777777779,-0.7777777777777778,0.0
0.07777777777777778,16.66666666666667,10.0,-0.7777777777777778,0.0
0.07777777777777778,23.333333333333336,-10.0,-0.7777777777777778,-0.0
0.07777777777777778,23.333333333333336,-7.777777777777778,-0.7777777777777778,-0.0
0.07777777777777778,23.333333333333336,-5.555555555555555,-0.7777777777777778,-0.0
0.07777777777777778,23.333333333333336,-3.333333333333333,-0.7777777777777778,-0.0
0.07777777777777778,23.333333333333336,-1.1111111111111107,-0.7777777777777778,-0.0
0.07777777777777778,23.333333333333336,1.1111111111111107,-0.7777777777777778,0.0
0.07777777777777778,23.333333333333336,3.333333333333334,-0.7777777777777778,0.0
0.07777777777777778,23.333333333333336,5.555555555555557,-0.7777777777777778,0.0
0.07777777777777778,23.333333333333336,7.777777777777779,-0.7777777777777778,0.0
0.07777777777777778,23.333333333333336,10.0,-0.7777777777777778,0.0
0.07777777777777778,30.0,-10.0,-0.7777777777777778,-0.0
0.07777777777777778,30.0,-7.777777777777778,-0.7777777777777778,-0.0
0.07777777777777778,30.0,-5.555555555555555,-0.7777777777777778,-0.0
0.07777777777777778,30.0,-3.333333333333333,-0.7777777777777778,-0.0
0.07777777777777778,30.0,-1.1111111111111107,-0.7777777777777778,-0.0
0.07777777777777778,30.0,1.1111111111111107,-0.7777777777777778,0.0
0.07777777777777778,30.0,3.333333333333334,-0.7777777777777778,0.0
0.07777777777777778,30.0,5.555555555555557,-0.7777777777777778,0.0
0.07777777777777778,30.0,7.777777777777779,-0.7777777777777778,0.0
0.07777777777777778,30.0,10.0,-0.7777777777777778,0.0
0.1,-30.0,-10.0,-0.7777777777777778,-0.0
0.1,-30.0,-7.777777777777778,-0.7777777777777778,-0.0
0.1,-30.0,-5.555555555555555,-0.7777777777777778,-0.0
0.1,-30.0,-3.333333333333333,-0.7777777777777778,-0.0
0.1,-30.0,-1.1111111111111107,-0.7777777777777778,-0.0
0.1,-30.0,1.1111111111111107,-0.7777777777777778,0.0
0.1,-30.0,3.333333333333334,-0.7777777777777778,0.0
0.1,-30.0,5.555555555555557,-0.7777777777777778,0.0
0.1,-30.0,7.777777777777779,-0.7777777777777778,0.0
0.1,-30.0,10.0,-0.7777777777777778,0.0
0.1,-23.333333333333332,-10.0,-0.7777777777777778,-0.0
0.1,-23.333333333333332,-7.777777777777778,-0.7777777777777778,-0.0
0.1,-23.333333333333332,-5.555555555555555,-0.7777777777777778,-0.0
0.1,-23.333333333333332,-3.333333333333333,-0.7777777777777778,-0.0
0.1,-23.333333333333332,-1.1111111111111107,-0.7777777777777778,-0.0
0.1,-23.333333333333332,1.1111111111111107,-0.7777777777777778,0.0
0.1,-23.333333333333332,3.333333333333334,-0.7777777777777778,0.0
0.1,-23.333333333333332,5.555555555555557,-0.7777777777777778,0.0
0.1,-23.333333333333332,7.777777777777779,-0.7777777777777778,0.0
0.1,-23.333333333333332,10.0,-0.7777777777777778,0.0
0.1,-16.666666666666664,-10.0,-0.7777777777777778,-0.0
0.1,-16.666666666666664,-7.777777777777778,-0.7777777777777778,-0.0
0.1,-16.666666666666664,-5.555555555555555,-0.7777777777777778,-0.0
0.1,-16.666666666666664,-3.333333333333333,-0.7777777777777778,-0.0
0.1,-16.666666666666664,-1.1111111111111107,-0.7777777777777778,-0.0
0.1,-16.666666666666664,1.1111111111111107,-0.7777777777777778,0.0
0.1,-16.666666666666664,3.333333333333334,-0.7777777777777778,0.0
0.1,-16.666666666666664,5.555555555555557,-0.7777777777777778,0.0
0.1,-16.666666666666664,7.777777777777779,-0.7777777777777778,0.0
0.1,-16.666666666666664,10.0,-0.7777777777777778,0.0
0.1,-10.0,-10.0,-0.7777777777777778,-0.0
0.1,-10.0,-7.777777777777778,-0.7777777777777778,-0.0
0.1,-10.0,-5.555555555555555,-0.7777777777777778,-0.0
0.1,-10.0,-3.333333333333333,-0.7777777777777778,-0.0
0.1,-10.0,-1.1111111111111107,-0.7777777777777778,-0.0
0.1,-10.0,1.1111111111111107,-0.7777777777777778,0.0
0.1,-10.0,3.333333333333334,-0.7777777777777778,0.0
0.1,-10.0,5.555555555555557,-0.7777777777777778,0.0
0.1,-10.0,7.777777777777779,-0.7777777777777778,0.0
0.1,-10.0,10.0,-0.7777777777777778,0.0
0.1,-3.333333333333332,-10.0,-0.7777777777777778,-0.0
0.1,-3.333333333333332,-7.777777777777778,-0.7777777777777778,-0.0
0.1,-3.333333333333332,-5.555555555555555,-0.7777777777777778,-0.0
0.1,-3.333333333333332,-3.333333333333333,-0.7777777777777778,-0.0
0.1,-3.333333333333332,-1.1111111111111107,-0.7777777777777778,-0.0
0.1,-3.333333333333332,1.1111111111111107,-0.7777777777777778,0.0
0.1,-3.333333333333332,3.333333333333334,-0.7777777777777778,0.0
0.1,-3.333333333333332,5.555555555555557,-0.7777777777777778,0.0
0.1,-3.333333333333332,7.777777777777779,-0.7777777777777778,0.0
0.1,-3.333333333333332,10.0,-0.7777777777777778,0.0
0.1,3.3333333333333357,-10.0,-0.7777777777777778,-0.0
0.1,3.3333333333333357,-7.777777777777778,-0.7777777777777778,-0.0
0.1,3.3333333333333357,-5.555555555555555,-0.7777777777777778,-0.0
0.1,3.3333333333333357,-3.333333333333333,-0.7777777777777778,-0.0
0.1,3.3333333333333357,-1.1111111111111107,-0.7777777777777778,-0.0
0.1,3.3333333333333357,1.1111111111111107,-0.7777777777777778,0.0
0.1,3.3333333333333357,3.333333333333334,-0.7777777777777778,0.0
0.1,3.3333333333333357,5.555555555555557,-0.7777777777777778,0.0
0.1,3.3333333333333357,7.777777777777779,-0.7777777777777778,0.0
0.1,3.3333333333333357,10.0,-0.7777777777777778,0.0
0.1,10.0,-10.0,-0.7777777777777778,-0.0
0.1,10.0,-7.777777777777778,-0.7777777777777778,-0.0
0.1,10.0,-5.555555555555555,-0.7777777777777778,-0.0
0.1,10.0,-3.333333333333333,-0.7777777777777778,-0.0
0.1,10.0,-1.1111111111111107,-0.7777777777777778,-0.0
0.1,10.0,1.1111111111111107,-0.7777777777777778,0.0
0.1,10.0,3.333333333333334,-0.7777777777777778,0.0
0.1,10.0,5.555555555555557,-0.7777777777777778,0.0
0.1,10.0,7.777777777777779,-0.7777777777777778,0.0
0.1,10.0,10.0,-0.7777777777777778,0.0
0.1,16.66666666666667,-10.0,-0.7777777777777778,-0.0
0.1,16.66666666666667,-7.777777777777778,-0.7777777777777778,-0.0
0.1,16.66666666666667,-5.555555555555555,-0.7777777777777778,-0.0
0.1,16.66666666666667,-3.333333333333333,-0.7777777777777778,-0.0
0.1,16.66666666666667,-1.1111111111111107,-0.7777777777777778,-0.0
0.1,16.66666666666667,1.1111111111111107,-0.7777777777777778,0.0
0.1,16.66666666666667,3.333333333333334,-0.7777777777777778,0.0
0.1,16.66666666666667,5.555555555555557,-0.7777777777777778,0.0
0.1,16.66666666666667,7.777777777777779,-0.7777777777777778,0.0
0.1,16.66666666666667,10.0,-0.7777777777777778,0.0
0.1,23.333333333333336,-10.0,-0.7777777777777778,-0.0
0.1,23.333333333333336,-7.777777777777778,-0.7777777777777778,-0.0
0.1,23.333333333333336,-5.555555555555555,-0.7777777777777778,-0.0
0.1,23.333333333333336,-3.333333333333333,-0.7777777777777778,-0.0
0.1,23.333333333333336,-1.1111111111111107,-0.7777777777777778,-0.0
0.1,23.333333333333336,1.1111111111111107,-0.7777777777777778,0.0
0.1,23.333333333333336,3.333333333333334,-0.7777777777777778,0.0
0.1,23.333333333333336,5.555555555555557,-0.7777777777777778,0.0
0.1,23.333333333333336,7.777777777777779,-0.7777777777777778,0.0
0.1,23.333333333333336,10.0,-0.7777777777777778,0.0
0.1,30.0,-10.0,-0.7777777777777778,-0.0
0.1,30.0,-7.777777777777778,-0.7777777777777778,-0.0
0.1,30.0,-5.555555555555555,-0.7777777777777778,-0.0
0.1,30.0,-3.333333333333333,-0.7777777777777778,-0.0
0.1,30.0,-1.1111111111111107,-0.7777777777777778,-0.0
0.1,30.0,1.1111111111111107,-0.7777777777777778,0.0
0.1,30.0,3.333333333333334,-0.7777777777777778,0.0
0.1,30.0,5.555555555555557,-0.7777777777777778,0.0
0.1,30.0,7.777777777777779,-0.7777777777777778,0.0
0.1,30.0,10.0,-0.7777777777777778,0.0
-0.1,-30.0,-10.0,-0.5555555555555556,-0.0
-0.1,-30.0,-7.777777777777778,-0.5555555555555556,-0.0
-0.1,-30.0,-5.555555555555555,-0.5555555555555556,-0.0
-0.1,-30.0,-3.333333333333333,-0.5555555555555556,-0.0
-0.1,-30.0,-1.1111111111111107,-0.5555555555555556,-0.0
-0.1,-30.0,1.1111111111111107,-0.5555555555555556,0.0
-0.1,-30.0,3.333333333333334,-0.5555555555555556,0.0
-0.1,-30.0,5.555555555555557,-0.5555555555555556,0.0
-0.1,-30.0,7.777777777777779,-0.5555555555555556,0.0
-0.1,-30.0,10.0,-0.5555555555555556,0.0
-0.1,-23.333333333333332,-10.0,-0.5555555555555556,-0.0
-0.1,-23.333333333333332,-7.777777777777778,-0.5555555555555556,-0.0
-0.1,-23.333333333333332,-5.555555555555555,-0.5555555555555556,-0.0
-0.1,-23.333333333333332,-3.333333333333333,-0.5555555555555556,-0.0
-0.1,-23.333333333333332,-1.1111111111111107,-0.5555555555555556,-0.0
-0.1,-23.333333333333332,1.1111111111111107,-0.5555555555555556,0.0
-0.1,-23.333333333333332,3.333333333333334,-0.5555555555555556,0.0
-0.1,-23.333333333333332,5.555555555555557,-0.5555555555555556,0.0
-0.1,-23.333333333333332,7.777777777777779,-0.5555555555555556,0.0
-0.1,-23.333333333333332,10.0,-0.5555555555555556,0.0
-0.1,-16.666666666666664,-10.0,-0.5555555555555556,-0.0
-0.1,-16.666666666666664,-7.777777777777778,-0.5555555555555556,-0.0
-0.1,-16.666666666666664,-5.555555555555555,-0.5555555555555556,-0.0
-0.1,-16.666666666666664,-3.333333333333333,-0.5555555555555556,-0.0
-0.1,-16.666666666666664,-1.1111111111111107,-0.5555555555555556,-0.0
-0.1,-16.666666666666664,1.1111111111111107,-0.5555555555555556,0.0
-0.1,-16.666666666666664,3.333333333333334,-0.5555555555555556,0.0
-0.1,-16.666666666666664,5.555555555555557,-0.5555555555555556,0.0
-0.1,-16.666666666666664,7.777777777777779,-0.5555555555555556,0.0
-0.1,-16.666666666666664,10.0,-0.5555555555555556,0.0
-0.1,-10.0,-10.0,-0.5555555555555556,-0.0
-0.1,-10.0,-7.777777777777778,-0.5555555555555556,-0.0
-0.1,-10.0,-5.555555555555555,-0.5555555555555556,-0.0
-0.1,-10.0,-3.333333333333333,-0.5555555555555556,-0.0
-0.1,-10.0,-1.1111111111111107,-0.5555555555555556,-0.0
-0.1,-10.0,1.1111111111111107,-0.5555555555555556,0.0
-0.1,-10.0,3.333333333333334,-0.5555555555555556,0.0
-0.1,-10.0,5.555555555555557,-0.5555555555555556,0.0
-0.1,-10.0,7.777777777777779,-0.5555555555555556,0.0
-0.1,-10.0,10.0,-0.5555555555555556,0.0
-0.1,-3.333333333333332,-10.0,-0.5555555555555556,-0.0
-0.1,-3.333333333333332,-7.777777777777778,-0.5555555555555556,-0.0
-0.1,-3.333333333333332,-5.555555555555555,-0.5555555555555556,-0.0
-0.1,-3.333333333333332,-3.333333333333333,-0.5555555555555556,-0.0
-0.1,-3.333333333333332,-1.1111111111111107,-0.5555555555555556,-0.0
-0.1,-3.333333333333332,1.1111111111111107,-0.5555555555555556,0.0
-0.1,-3.333333333333332,3.333333333333334,-0.5555555555555556,0.0
-0.1,-3.333333333333332,5.555555555555557,-0.5555555555555556,0.0
-0.1,-3.333333333333332,7.777777777777779,-0.5555555555555556,0.0
-0.1,-3.333333333333332,10.0,-0.5555555555555556,0.0
-0.1,3.3333333333333357,-10.0,-0.5555555555555556,-0.0
-0.1,3.3333333333333357,-7.777777777777778,-0.5555555555555556,-0.0
-0.1,3.3333333333333357,-5.555555555555555,-0.5555555555555556,-0.0
-0.1,3.3333333333333357,-3.333333333333333,-0.5555555555555556,-0.0
-0.1,3.3333333333333357,-1.1111111111111107,-0.5555555555555556,-0.0
-0.1,3.3333333333333357,1.1111111111111107,-0.5555555555555556,0.0
-0.1,3.3333333333333357,3.333333333333334,-0.5555555555555556,0.0
-0.1,3.3333333333333357,5.555555555555557,-0.5555555555555556,0.0
-0.1,3.3333333333333357,7.777777777777779,-0.5555555555555556,0.0
-0.1,3.3333333333333357,10.0,-0.5555555555555556,0.0
-0.1,10.0,-10.0,-0.5555555555555556,-0.0
-0.1,10.0,-7.777777777777778,-0.5555555555555556,-0.0
-0.1,10.0,-5.555555555555555,-0.5555555555555556,-0.0
-0.1,10.0,-3.333333333333333,-0.5555555555555556,-0.0
-0.1,10.0,-1.1111111111111107,-0.5555555555555556,-0.0
-0.1,10.0,1.1111111111111107,-0.5555555555555556,0.0
-0.1,10.0,3.333333333333334,-0.5555555555555556,0.0
-0.1,10.0,5.555555555555557,-0.5555555555555556,0.0
-0.1,10.0,7.777777777777779,-0.5555555555555556,0.0
-0.1,10.0,10.0,-0.5555555555555556,0.0
-0.1,16.66666666666667,-10.0,-0.5555555555555556,-0.0
-0.1,16.66666666666667,-7.777777777777778,-0.5555555555555556,-0.0
-0.1,16.66666666666667,-5.555555555555555,-0.5555555555555556,-0.0
-0.1,16.66666666666667,-3.333333333333333,-0.5555555555555556,-0.0
-0.1,16.66666666666667,-1.1111111111111107,-0.5555555555555556,-0.0
-0.1,16.66666666666667,1.1111111111111107,-0.5555555555555556,0.0
-0.1,16.66666666666667,3.333333333333334,-0.5555555555555556,0.0
-0.1,16.66666666666667,5.555555555555557,-0.5555555555555556,0.0
-0.1,16.66666666666667,7.777777777777779,-0.5555555555555556,0.0
-0.1,16.66666666666667,10.0,-0.5555555555555556,0.0
-0.1,23.333333333333336,-10.0,-0.5555555555555556,-0.0
-0.1,23.333333333333336,-7.777777777777778,-0.5555555555555556,-0.0
-0.1,23.333333333333336,-5.555555555555555,-0.5555555555555556,-0.0
-0.1,23.333333333333336,-3.333333333333333,-0.5555555555555556,-0.0
-0.1,23.333333333333336,-1.1111111111111107,-0.5555555555555556,-0.0
-0.1,23.333333333333336,1.1111111111111107,-0.5555555555555556,0.0
-0.1,23.333333333333336,3.333333333333334,-0.5555555555555556,0.0
-0.1,23.333333333333336,5.555555555555557,-0.5555555555555556,0.0
-0.1,23.333333333333336,7.777777777777779,-0.5555555555555556,0.0
-0.1,23.333333333333336,10.0,-0.5555555555555556,0.0
-0.1,30.0,-10.0,-0.5555555555555556,-0.0
-0.1,30.0,-7.777777777777778,-0.5555555555555556,-0.0
-0.1,30.0,-5.555555555555555,-0.5555555555555556,-0.0
-0.1,30.0,-3.333333333333333,-0.5555555555555556,-0.0
-0.1,30.0,-1.1111111111111107,-0.5555555555555556,-0.0
-0.1,30.0,1.1111111111111107,-0.5555555555555556,0.0
-0.1,30.0,3.333333333333334,-0.5555555555555556,0.0
-0.1,30.0,5.555555555555557,-0.5555555555555556,0.0
-0.1,30.0,7.777777777777779,-0.5555555555555556,0.0
-0.1,30.0,10.0,-0.5555555555555556,0.0
-0.07777777777777778,-30.0,-10.0,-0.5555555555555556,-0.0
-0.07777777777777778,-30.0,-7.777777777777778,-0.5555555555555556,-0.0
-0.07777777777777778,-30.0,-5.555555555555555,-0.5555555555555556,-0.0
-0.07777777777777778,-30.0,-3.333333333333333,-0.5555555555555556,-0.0
-0.07777777777777778,-30.0,-1.1111111111111107,-0.5555555555555556,-0.0
-0.07777777777777778,-30.0,1.1111111111111107,-0.5555555555555556,0.0
-0.07777777777777778,-30.0,3.333333333333334,-0.5555555555555556,0.0
-0.07777777777777778,-30.0,5.555555555555557,-0.5555555555555556,0.0
-0.07777777777777778,-30.0,7.777777777777779,-0.5555555555555556,0.0
-0.07777777777777778,-30.0,10.0,-0.5555555555555556,0.0
-0.07777777777777778,-23.333333333333332,-10.0,-0.5555555555555556,-0.0
-0.07777777777777778,-23.333333333333332,-7.777777777777778,-0.5555555555555556,-0.0
-0.07777777777777778,-23.333333333333332,-5.555555555555555,-0.5555555555555556,-0.0
-0.07777777777777778,-23.333333333333332,-3.333333333333333,-0.5555555555555556,-0.0
-0.07777777777777778,-23.333333333333332,-1.1111111111111107,-0.5555555555555556,-0.0
-0.07777777777777778,-23.333333333333332,1.1111111111111107,-0.5555555555555556,0.0
-0.07777777777777778,-23.333333333333332,3.333333333333334,-0.5555555555555556,0.0
-0.07777777777777778,-23.333333333333332,5.555555555555557,-0.5555555555555556,0.0
-0.07777777777777778,-23.333333333333332,7.777777777777779,-0.5555555555555556,0.0
-0.07777777777777778,-23.333333333333332,10.0,-0.5555555555555556,0.0
-0.07777777777777778,-16.666666666666664,-10.0,-0.5555555555555556,-0.0
-0.07777777777777778,-16.666666666666664,-7.777777777777778,-0.5555555555555556,-0.0
-0.07777777777777778,-16.666666666666664,-5.555555555555555,-0.5555555555555556,-0.0
-0.07777777777777778,-16.666666666666664,-3.333333333333333,-0.5555555555555556,-0.0
-0.07777777777777778,-16.666666666666664,-1.1111111111111107,-0.5555555555555556,-0.0
-0.07777777777777778,-16.666666666666664,1.1111111111111107,-0.5555555555555556,0.0
-0.07777777777777778,-16.666666666666664,3.333333333333334,-0.5555555555555556,0.0
-0.07777777777777778,-16.666666666666664,5.555555555555557,-0.5555555555555556,0.0
-0.07777777777777778,-16.666666666666664,7.777777777777779,-0.5555555555555556,0.0
-0.07777777777777778,-16.666666666666664,10.0,-0.5555555555555556,0.0
-0.07777777777777778,-10.0,-10.0,-0.5555555555555556,-0.0
-0.07777777777777778,-10.0,-7.777777777777778,-0.5555555555555556,-0.0
-0.07777777777777778,-10.0,-5.555555555555555,-0.5555555555555556,-0.0
-0.07777777777777778,-10.0,-3.333333333333333,-0.5555555555555556,-0.0
-0.07777777777777778,-10.0,-1.1111111111111107,-0.5555555555555556,-0.0
-0.07777777777777778,-10.0,1.1111111111111107,-0.5555555555555556,0.0
-0.07777777777777778,-10.0,3.333333333333334,-0.5555555555555556,0.0
-0.07777777777777778,-10.0,5.555555555555557,-0.5555555555555556,0.0
-0.07777777777777778,-10.0,7.777777777777779,-0.5555555555555556,0.0
-0.07777777777777778,-10.0,10.0,-0.5555555555555556,0.0
-0.07777777777777778,-3.333333333333332,-10.0,-0.5555555555555556,-0.0
-0.07777777777777778,-3.333333333333332,-7.777777777777778,-0.5555555555555556,-0.0
-0.07777777777777778,-3.333333333333332,-5.555555555555555,-0.5555555555555556,-0.0
-0.07777777777777778,-3.333333333333332,-3.333333333333333,-0.5555555555555556,-0.0
-0.07777777777777778,-3.333333333333332,-1.1111111111111107,-0.5555555555555556,-0.0
